hash,msg,parents,is_merge,files
4da6600f5d0563fffe59e8bb3a476e0b7e6d2662,"Krita plugin for stable diffusion inpaint workflow:
* widget with prompt textbox and generate button
* inpaint
* automatic downscaling/controlnet/upscaling
* uses current selection as mask
* puts result in a new layer (masked)
* running automatic1111 server required",[],False,"['.gitattributes', '.gitignore', 'ai_tools.desktop', '__init__.py', 'diffusion.py', 'extension.py', 'image.py', 'settings.py', 'widget.py', 'workflow.py', 'beach_1536x1024.png', 'beach_768x512.png', 'test_image.py', 'test_workflow.py']"
2c31b6464ce773dd0468adf0aee75d7a3a375cac,Use QNetwork for asynchronous http requests with callbacks,['4da6600f5d0563fffe59e8bb3a476e0b7e6d2662'],False,"['diffusion.py', 'widget.py', 'workflow.py', 'conftest.py', 'test_workflow.py']"
80ccd7214da5f163a209e9a45a3edf6aa77f55a0,Use asyncio instead of callbacks,['2c31b6464ce773dd0468adf0aee75d7a3a375cac'],False,"['__init__.py', 'diffusion.py', 'eventloop.py', 'extension.py', 'widget.py', 'workflow.py', 'conftest.py', 'test_workflow.py']"
10ed9d8b8e1cd1ffbc598c2246f57d54bbfe6436,Tiled upscaling (using ultimate sd upscale script for now),['80ccd7214da5f163a209e9a45a3edf6aa77f55a0'],False,"['diffusion.py', 'widget.py']"
aea47b326666dba6dabb6a5c41fee4c03cba5834,"Added denoising strength slider (img2img pipeline)
Added cancel/interrupt
Added progress bar",['10ed9d8b8e1cd1ffbc598c2246f57d54bbfe6436'],False,"['diffusion.py', 'document.py', 'image.py', 'widget.py', 'workflow.py', 'lake_1536x1024.png', 'test_image.py', 'test_workflow.py']"
d1f46fbdedc878b5ea854458cd1c2662c24f62c2,Support image batches and show images in preview list,['aea47b326666dba6dabb6a5c41fee4c03cba5834'],False,"['__init__.py', 'diffusion.py', 'document.py', 'image.py', 'settings.py', 'widget.py', 'workflow.py', 'test_image.py', 'test_workflow.py']"
8d05e1d234b58d995a1f69b50984e5760d4f6531,"Apply & discard button, lock the preview layer to avoid accidents",['d1f46fbdedc878b5ea854458cd1c2662c24f62c2'],False,"['TODO.md', 'document.py', 'widget.py']"
6959b0368460e2787dcd08cd7db7d11e74e87e06,"Broke up UI into two phases
Support multiple documents with their own state
Fixed cancel and made it exception based",['8d05e1d234b58d995a1f69b50984e5760d4f6531'],False,"['TODO.md', 'diffusion.py', 'document.py', 'settings.py', 'widget.py', 'workflow.py', 'pyproject.toml']"
833c377e1d7401c81c7ac28a1ff1f0df825ece82,"Refactored upscaling code
Added minimum resolution for small inpaint areas",['6959b0368460e2787dcd08cd7db7d11e74e87e06'],False,"['diffusion.py', 'image.py', 'settings.py', 'workflow.py', 'test_image.py', 'test_workflow.py']"
5dee0abc0b47c8b5b60768a8a1b7d62454e62788,Clamp selection bounds to image region,['833c377e1d7401c81c7ac28a1ff1f0df825ece82'],False,"['document.py', 'image.py', 'test_image.py']"
1c1ebeea0eba6964555ec807a3efc609c25608a0,"Moved auto1111 requests to instance
Retrieve supported upscalers instead of hardcoded index
Show connection status on welcome widget",['5dee0abc0b47c8b5b60768a8a1b7d62454e62788'],False,"['TODO.md', '__init__.py', 'diffusion.py', 'widget.py', 'workflow.py', 'test_workflow.py']"
25e412bb455939cceecdc1b086e12b5ebb97ad64,"Added ""generate more"" button to create more images from the same inputs",['1c1ebeea0eba6964555ec807a3efc609c25608a0'],False,"['image.py', 'widget.py']"
b0111a8224cd08a50878081a2028ab63d9cbb3cf,Added settings dialog and configuration file,['25e412bb455939cceecdc1b086e12b5ebb97ad64'],False,"['.gitignore', '__init__.py', 'diffusion.py', 'extension.py', 'image.py', 'settings.py', 'widget.py', 'workflow.py', 'test_settings.py', 'test_workflow.py']"
c437d8b3694bc969f864c5d65fcbcbf7e74b8fa8,"Added upscale which does not tile the image but used tiled VAE extension
Fixed image bounds clamp at borders
Fixed multi document sharing image collection
Improved error handling",['b0111a8224cd08a50878081a2028ab63d9cbb3cf'],False,"['TODO.md', 'diffusion.py', 'image.py', 'widget.py', 'test_image.py']"
2f6598eea34e99a41f9148b414ed575b385ec240,"Changed selection mask to fall off only outside of its borders
(this makes inpainting/outpainting at borders more intuitive)",['c437d8b3694bc969f864c5d65fcbcbf7e74b8fa8'],False,['document.py']
63a44638ac6aab10823c345fc1d9ebbf1f2c4f94,Moved image and selection setup out of coroutine,['2f6598eea34e99a41f9148b414ed575b385ec240'],False,['widget.py']
39792f76ab3466b644273b9a411a2e9afbc54049,"Added workflows for diffusion without a selection
* generate from prompt for entire blank area
* refine on entire image (no downscale if strength is low)",['63a44638ac6aab10823c345fc1d9ebbf1f2c4f94'],False,"['TODO.md', 'diffusion.py', 'image.py', 'widget.py', 'workflow.py', 'conftest.py', 'test_image.py', 'test_workflow.py']"
d7e3ff5f3843c4cefadca73f7629d8e87839f1ef,Check for controlnet models when connecting,['39792f76ab3466b644273b9a411a2e9afbc54049'],False,"['TODO.md', 'diffusion.py', 'pyproject.toml']"
ccc4e011a7f916cfa2621f87443fc392683e4444,"Moved and refactored some of the UI code
Added server URL to settings and more info about the connection",['d7e3ff5f3843c4cefadca73f7629d8e87839f1ef'],False,"['__init__.py', 'extension.py', 'apply.svg', 'discard.svg', 'settings.svg', 'settings.py', '__init__.py', 'server.py', 'settings.py', 'widget.py']"
edf825c30b292deb31896b5d00a1641b68f22ee2,"Extracted image generation view model from widget
Added actions for with shortcut support",['ccc4e011a7f916cfa2621f87443fc392683e4444'],False,"['TODO.md', 'ai_tools.action', 'extension.py', '__init__.py', 'model.py', 'server.py', 'settings.py', 'widget.py']"
3439dd377454b3e3cf4180e6a0d4499007114494,"Extracted network code
Added negative and upscale prompt as settings",['edf825c30b292deb31896b5d00a1641b68f22ee2'],False,"['__init__.py', 'diffusion.py', 'network.py', 'settings.py', 'settings.py', 'widget.py']"
d1457cae5c944ffefadde2098ed3f20a734da04a,Grouped settings into categories,['3439dd377454b3e3cf4180e6a0d4499007114494'],False,"['__init__.py', 'settings.py', 'settings.py', 'test_settings.py']"
5982f5f4ae3ce3f67c28a929120de9823c965f11,"Changed workflows to be generators:
- first result in a batch can be displayed immediately
- batch size is now computed dynamically based on image resolution",['d1457cae5c944ffefadde2098ed3f20a734da04a'],False,"['__init__.py', 'diffusion.py', 'image.py', 'network.py', 'settings.py', 'model.py', 'settings.py', 'util.py', 'workflow.py', 'conftest.py', 'test_util.py', 'test_workflow.py']"
4ab03af5fbb8002a28dd0225d94142b0bf39939c,Comfy: generate working at all resolutions,['5982f5f4ae3ce3f67c28a929120de9823c965f11'],False,"['.gitignore', 'TODO.md', 'ai_tools.desktop', '__init__.py', 'client.py', 'diffusion.py', 'document.py', 'extension.py', 'image.py', 'network.py', 'settings.py', '__init__.py', 'connection.py', 'model.py', 'settings.py', 'widget.py', 'workflow.py', 'test_workflow.py']"
ba5d4bb93f319482e6ec5350b705ee7393f79b6f,"Comfy: send/receive images as base64/binary, img2img working",['4ab03af5fbb8002a28dd0225d94142b0bf39939c'],False,"['__init__.py', 'client.py', 'image.py', 'network.py', 'settings.py', 'workflow.py', 'test_workflow.py']"
1df773a96096146d7e30433eed2373f234e3aa89,Comfy: implement masks/inpaint,['ba5d4bb93f319482e6ec5350b705ee7393f79b6f'],False,"['client.py', 'image.py', 'model.py', 'workflow.py', 'test_workflow.py']"
50e9db6ee1d14b0855ee6120849d2749b50a9746,Comfy: split workflow files,['1df773a96096146d7e30433eed2373f234e3aa89'],False,"['comfyworkflow.py', 'workflow.py']"
3e970ff597d10eff02997887c1ed6f1bbb377a14,Comfy: adjust preview behavior,['50e9db6ee1d14b0855ee6120849d2749b50a9746'],False,"['TODO.md', 'document.py', 'model.py', 'widget.py', 'workflow.py']"
443273cb0c8cc936f10d6ca42745ca805385b696,Comfy: don't clear preview list,['3e970ff597d10eff02997887c1ed6f1bbb377a14'],False,"['model.py', 'widget.py']"
f3d5ea87e91862140aff208e6a192bd55aefc3bc,Comfy: handle progress and initial queue widget,['443273cb0c8cc936f10d6ca42745ca805385b696'],False,"['TODO.md', 'client.py', 'comfyworkflow.py', 'extension.py', '__init__.py', 'actions.py', 'model.py', 'widget.py', 'workflow.py']"
94e6f169188d08fec02610333f4f5025847162a5,Comfy: inpaint and outpaint,['f3d5ea87e91862140aff208e6a192bd55aefc3bc'],False,"['comfyworkflow.py', 'model.py', 'workflow.py', 'test_workflow.py']"
804d34670d3de8ecb9c5c8868df22392a7e9c047,Comfy: implement batch size everywhere,['94e6f169188d08fec02610333f4f5025847162a5'],False,"['comfyworkflow.py', 'workflow.py']"
588f59a7cf8b8bdc82d2d9deeaa8b9a2bffe2142,Comfy: added websockets as submodule,['804d34670d3de8ecb9c5c8868df22392a7e9c047'],False,"['.gitignore', '.gitmodules', 'websockets']"
c1ad178f3c21be4fe9ee6e7b73c051bd8c7758a9,"Comfy: retrieve checkpoints, controlnets, etc. from server",['588f59a7cf8b8bdc82d2d9deeaa8b9a2bffe2142'],False,"['client.py', 'connection.py', 'model.py', 'settings.py', 'util.py', 'workflow.py']"
0d4f24bc44037d6a248bc1042d63695379d86214,Comfy: refactor queue widget,['c1ad178f3c21be4fe9ee6e7b73c051bd8c7758a9'],False,['widget.py']
d628817c5fe8b71b1bf15d526a7741b6910ced90,"Comfy: added settings for checkpoint and sampler
Also improved error handling",['0d4f24bc44037d6a248bc1042d63695379d86214'],False,"['TODO.md', '__init__.py', 'client.py', 'comfyworkflow.py', 'extension.py', 'settings.py', 'connection.py', 'settings.py', 'workflow.py', 'test_workflow.py']"
f8882fccaefec193cdbf906c120ec544e431a8dd,Comfy: check custom nodes,['d628817c5fe8b71b1bf15d526a7741b6910ced90'],False,"['client.py', 'comfyworkflow.py', 'settings.py']"
09f1e108009e823cacdd1aeb55d012d28beed67f,Comfy: don't use coroutine where not needed,['f8882fccaefec193cdbf906c120ec544e431a8dd'],False,"['__init__.py', 'model.py', 'workflow.py', 'test_workflow.py']"
90522e07e5787ab4c5920dbf275ecd4f807a8052,Comfy: LoRA support,['09f1e108009e823cacdd1aeb55d012d28beed67f'],False,"['TODO.md', 'client.py', 'comfyworkflow.py', 'settings.py', 'settings.py', 'workflow.py']"
1942e2188ed1d150335f5997a550ffa4a35af48e,Comfy: handle cancel/interrupt,['90522e07e5787ab4c5920dbf275ecd4f807a8052'],False,"['TODO.md', 'client.py', 'model.py', 'test_client.py']"
2e4f618fb3ab6ad634b6683e67e0cbe12c6e242d,Comfy: restrict max history (memory limit),['1942e2188ed1d150335f5997a550ffa4a35af48e'],False,"['TODO.md', 'image.py', 'settings.py', 'model.py', 'settings.py']"
6e575482c0f814cab256b9e031ab38d0985eeda4,Comfy: show header with prompt in history,['2e4f618fb3ab6ad634b6683e67e0cbe12c6e242d'],False,"['model.py', 'widget.py']"
952d33a63ad1c4d17e98c14c87c64afe59c634e1,Comfy: group generations with the same prompt,['6e575482c0f814cab256b9e031ab38d0985eeda4'],False,"['TODO.md', 'widget.py']"
0116a432a32929bd32a688dc3d88f9d21ea7fe07,Improved settings layout,['952d33a63ad1c4d17e98c14c87c64afe59c634e1'],False,"['settings.py', 'settings.py', 'widget.py']"
510dde32f9c3b176b8dca8b6cb7a43d9f398a212,Comfy: fix batch size not working for inpaint,['0116a432a32929bd32a688dc3d88f9d21ea7fe07'],False,"['image.py', 'widget.py', 'workflow.py', 'test_workflow.py']"
7476a3defd4dd309bcc4c22ddbe12d54249eb3d1,Comfy: don't pollute the undo stack with previews,['510dde32f9c3b176b8dca8b6cb7a43d9f398a212'],False,"['TODO.md', 'document.py', 'image.py', 'model.py']"
d598ddcac78b9f5fed21f27fe1b7fa22896ed3c3,Merge branch 'comfy',"['5982f5f4ae3ce3f67c28a929120de9823c965f11', '7476a3defd4dd309bcc4c22ddbe12d54249eb3d1']",True,[]
587d80759a3d1a878f24f1de0ca7fd3366e0bde4,Renamed extension folder,['d598ddcac78b9f5fed21f27fe1b7fa22896ed3c3'],False,"['.gitmodules', 'ai_diffusion.desktop', '__init__.py', 'ai_diffusion.action', 'client.py', 'comfyworkflow.py', 'document.py', 'eventloop.py', 'extension.py', 'apply.svg', 'discard.svg', 'settings.svg', 'image.py', 'network.py', 'settings.py', '__init__.py', 'actions.py', 'connection.py', 'model.py', 'settings.py', 'widget.py', 'util.py', 'workflow.py', 'websockets']"
7498c992d2898819aeffa752b2bd888b384f25df,Readd submodule (1),['587d80759a3d1a878f24f1de0ca7fd3366e0bde4'],False,['.gitmodules']
2fe947d1b0b8d456d228545af0c2aafe12621e2d,Readd submodule (2),['7498c992d2898819aeffa752b2bd888b384f25df'],False,"['.gitmodules', 'TODO.md', 'websockets']"
99f97788ff6d2a9bd2bd0960565379c565feb215,"Style presets (checkpoint, loras, sampler, etc)",['2fe947d1b0b8d456d228545af0c2aafe12621e2d'],False,"['TODO.md', '__init__.py', 'ai_diffusion.action', 'client.py', 'extension.py', 'settings.py', 'style.py', 'cinematic-photo.json', 'digital-artwork.json', 'model.py', 'settings.py', 'widget.py', 'util.py', 'workflow.py', 'conftest.py', 'test_client.py', 'test_image.py', 'test_settings.py', 'test_util.py', 'test_workflow.py']"
df0639423848970a7530c56560816ba327d37a1d,Brief readme and license file,['99f97788ff6d2a9bd2bd0960565379c565feb215'],False,"['.gitignore', 'LICENSE', 'README.md', 'TODO.md', 'cinematic-photo.json']"
b4e00bdd6cce5c118861d21e5d6936a0a44cf984,Readme tweaks,['df0639423848970a7530c56560816ba327d37a1d'],False,['README.md']
6fb8116ccf14fd6501e705eca794d51d1193c444,Fixed style when opening settings / switching document,['b4e00bdd6cce5c118861d21e5d6936a0a44cf984'],False,['widget.py']
42a790bfc3ef9ff0591e50e93f72554c619544bc,Automated download and install of Python+ComfyUI,['6fb8116ccf14fd6501e705eca794d51d1193c444'],False,"['.gitignore', '__init__.py', 'client.py', 'comfyworkflow.py', 'network.py', 'server.py', 'settings.py', 'conftest.py', 'test_server.py']"
82f4e4a24ce62a69057d03a77fc58e74b1bc9f7c,Adjust workflow to updated IP-adapter node,['42a790bfc3ef9ff0591e50e93f72554c619544bc'],False,"['comfyworkflow.py', 'workflow.py', 'test_workflow.py']"
4c92a8eed1705d6f120971f960f81d0218cac9f8,UI for installing and running the server,['82f4e4a24ce62a69057d03a77fc58e74b1bc9f7c'],False,"['.gitignore', '__init__.py', 'extension.py', 'network.py', 'server.py', 'settings.py', '__init__.py', 'connection.py', 'server.py', 'settings.py', 'widget.py', 'util.py', 'test_server.py']"
f5ce9fc43c87440eead4746707ce58659b3039c0,Added link to view logs,['4c92a8eed1705d6f120971f960f81d0218cac9f8'],False,"['extension.py', 'server.py', 'settings.py']"
2ac374124b38ead10587ea85a5dbac33781909f7,"Support installing recommended checkpoints
Improved theme support
Improved download statistics",['f5ce9fc43c87440eead4746707ce58659b3039c0'],False,"['__init__.py', 'client.py', 'apply-dark.svg', 'apply-light.svg', 'discard-dark.svg', 'discard-light.svg', 'settings-dark.svg', 'settings-light.svg', 'network.py', 'server.py', 'connection.py', 'model.py', 'server.py', 'settings.py', 'theme.py', 'widget.py', 'test_client.py', 'test_server.py']"
c90bb202ef9f6fc2a1cb5346bd96483d052c9696,Fixed external server mode,['2ac374124b38ead10587ea85a5dbac33781909f7'],False,['settings.py']
4aaa0fd59a8998845c91a33fad716698aaaf7cc3,Polish welcome widget and add logo,['c90bb202ef9f6fc2a1cb5346bd96483d052c9696'],False,"['logo-128.png', 'settings.py', 'theme.py', 'widget.py']"
f1148a5419cc620f378f65d7aa106908afa4a1f7,Removed separate upscale prompt,['4aaa0fd59a8998845c91a33fad716698aaaf7cc3'],False,"['style.py', 'cinematic-photo.json', 'digital-artwork.json', 'settings.py', 'workflow.py']"
1b318d7f33bad842c1895adb9cd0dd520667c6e6,Update readme,['f1148a5419cc620f378f65d7aa106908afa4a1f7'],False,['README.md']
ac54e8cf24dbd877d04276e0bb4ed674681dbc6a,Install checkpoints by default if no server is installed yet,['1b318d7f33bad842c1895adb9cd0dd520667c6e6'],False,['server.py']
056a73cbde6ea66adad335f04bc821601f1b30db,Bump DreamShaper version to 8,['ac54e8cf24dbd877d04276e0bb4ed674681dbc6a'],False,"['server.py', 'digital-artwork.json']"
ccbec1c3cfcc9f0d7391854996ebfbbb7db50289,Disable apply button if context does not allow apply,['056a73cbde6ea66adad335f04bc821601f1b30db'],False,"['model.py', 'server.py', 'widget.py']"
f82f398aa6afed00927d70b63bf7c82f6d0eb799,Handle server errors reported via websocket,['ccbec1c3cfcc9f0d7391854996ebfbbb7db50289'],False,"['client.py', 'model.py']"
a9c905148d526fa425587f0811b237b35e890609,Use DPI-independent font size,['f82f398aa6afed00927d70b63bf7c82f6d0eb799'],False,"['settings.py', 'widget.py']"
338822f06622b050b6261a5a03edb12c8b7ee045,Don't pass mask to IP adapter for now (sometimes causes errors),['a9c905148d526fa425587f0811b237b35e890609'],False,"['comfyworkflow.py', 'workflow.py']"
67d36ca402884f9914ac4225fe56345ec1bd4adc,"Fixed issue when there are error/cancelled jobs
Don't merge history if bounds mismatch",['338822f06622b050b6261a5a03edb12c8b7ee045'],False,['widget.py']
6dd1caaee14661a9e904846e96e16d51e594bdb1,Added DPM++ 2M sampler,['67d36ca402884f9914ac4225fe56345ec1bd4adc'],False,"['style.py', 'cinematic-photo.json', 'digital-artwork.json', 'workflow.py']"
18bbe482c3992f13801bd4baccec7f4f4a95dda6,Improved LoRA UI,['6dd1caaee14661a9e904846e96e16d51e594bdb1'],False,['settings.py']
68fab4f6821b812a64e0f1877ebc76b57065aff0,"Add more padding if the inpaint region is tiny
- for 100% inpaint/outpaint only to get more context, keep scaling for img2img",['18bbe482c3992f13801bd4baccec7f4f4a95dda6'],False,"['document.py', 'image.py', 'model.py', 'test_image.py']"
22ec370477a56f81004648c3958607950968810b,"Better SDXL support:
- removed min/max image size setting
- changed scaling to preferred resolution
- disabled controlnet inpaint for XL (not available) and clip-vision/ip-adapter (not useful without controlnet)
- added manual option to set SD version (automatic detection is default, but not very robust)
- run some tests with XL",['68fab4f6821b812a64e0f1877ebc76b57065aff0'],False,"['__init__.py', 'server.py', 'settings.py', 'style.py', 'cinematic-photo.json', 'digital-artwork.json', 'settings.py', 'util.py', 'workflow.py', 'test_settings.py', 'test_workflow.py']"
050ea562fbd87ee0227fa44e10d31e4d1e600c95,Added package script,['22ec370477a56f81004648c3958607950968810b'],False,"['.gitignore', '__init__.py', 'package.py']"
70895d4d339e759f14eeaf967ac327d19b8c7303,Fixes for linux and some additional progress reporting,['050ea562fbd87ee0227fa44e10d31e4d1e600c95'],False,"['eventloop.py', 'extension.py', 'server.py', 'server.py', 'theme.py']"
0da9df8659a4b7caa2b2016a0b54e2561d4ff540,Auto-detect performance preset,['70895d4d339e759f14eeaf967ac327d19b8c7303'],False,"['__init__.py', 'client.py', 'settings.py', 'connection.py', 'settings.py', 'test_settings.py']"
